"","reads.in","reads.out"
"06Oct2024-3_S25_L001_R1_001.fastq.gz",338095,263320
"06Oct2024-3-Post_S26_L001_R1_001.fastq.gz",313924,244471
"06Oct2024-4-Post_S27_L001_R1_001.fastq.gz",443981,354354
"07Oct2024-1_S28_L001_R1_001.fastq.gz",202166,168534
"08Dec2-7_S16_L001_R1_001.fastq.gz",176743,168614
"09July13-8a_S43_L001_R1_001.fastq.gz",201498,192418
"09July29-1b_S26_L001_R1_001.fastq.gz",105111,100932
"09July29-3b_S27_L001_R1_001.fastq.gz",52195,50105
"09July29-6b_S28_L001_R1_001.fastq.gz",159470,153434
"09May15-12B_S19_L001_R1_001.fastq.gz",175699,163738
"09May15-14B_S20_L001_R1_001.fastq.gz",147463,139681
"09May15-15B_S21_L001_R1_001.fastq.gz",189194,178636
"10Nov2022-3-Post_S5_L001_R1_001.fastq.gz",182849,151561
"13Sept2025-1_S5_L001_R1_001.fastq.gz",233986,212102
"15Sept2025-3_S6_L001_R1_001.fastq.gz",314950,283742
"16Sept2025-2_S7_L001_R1_001.fastq.gz",395860,353554
"16Sept2025-3_S8_L001_R1_001.fastq.gz",320133,285417
"16Sept2025-4_S9_L001_R1_001.fastq.gz",436251,399179
"2007Nov05-07B_S2_L001_R1_001.fastq.gz",110571,103487
"2007Sept11-02A_S1_L001_R1_001.fastq.gz",122117,117403
"2007Sept6-10B_S7_L001_R1_001.fastq.gz",97520,93713
"23Dec2023-4_S24_L001_R1_001.fastq.gz",361132,278221
"43_S3_L001_R1_001.fastq.gz",36576,34917
"48_S4_L001_R1_001.fastq.gz",110763,106719
"53_S5_L001_R1_001.fastq.gz",118031,111882
"54_S6_L001_R1_001.fastq.gz",31077,29690
"57_S8_L001_R1_001.fastq.gz",121081,114093
"F08Aug30-1_S14_L001_R1_001.fastq.gz",44575,42744
"F08Aug30-2a_S15_L001_R1_001.fastq.gz",82517,78941
"F08Aug4-2_S12_L001_R1_001.fastq.gz",77032,74176
"F08Aug7-1_S13_L001_R1_001.fastq.gz",83333,79775
