"Oncorhynchus spp.","Oncorhynchus tshawytscha","Ophiodon elongatus","Oncorhynchus keta","Hydrolagus colliei","Oncorhynchus kisutch","Atheresthes stomias","Anoplopoma fimbria","Hippoglossus stenolepis","Oncorhynchus mykiss","Gadus chalcogrammus","Microstomus pacificus","Citharichthys sordidus","NA","NA.1","Oncorhynchus nerka","Citharichthys stigmaeus","Ammodytes hexapterus","Clupea pallasii"
0,134936,0,93937,0,7867,0,0,0,0,0,0,0,58,0,0,0,0,0
0,108810,0,95834,0,7768,0,5,0,0,0,0,0,0,0,0,0,0,0
0,221911,25,40127,0,11700,4,0,0,0,0,799,0,0,0,0,0,0,129
0,168042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,142971,6253,0,0,0,0,0,0,685,0,0,0,0,0,0,0,0,0
0,89993,0,122177,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0
0,208910,0,3065,11,0,7461,0,0,0,0,0,0,1431,0,0,0,0,0
0,7054,0,37610,0,58540,0,0,0,0,0,0,0,223,0,0,0,0,0
0,9616,0,62291,5,85809,0,8,0,0,0,0,0,389,0,0,0,0,0
0,164349,0,40350,0,74488,0,0,0,0,0,0,0,0,0,0,0,0,0
0,274565,0,2707,0,0,2527,0,0,0,0,0,0,376,0,0,0,0,0
0,311259,0,0,0,0,0,0,0,0,0,486,0,0,0,0,0,61,0
0,207462,0,0,7,0,0,0,0,1655,0,0,0,0,0,0,0,0,0
0,156910,0,0,0,0,0,0,0,510,0,0,0,563,0,0,0,0,0
0,229790,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0
0,247163,0,0,0,0,0,0,0,0,0,0,0,353,0,0,0,0,0
0,291125,0,0,0,0,0,0,0,0,0,0,0,281,0,0,0,0,0
0,111984,0,0,0,0,0,0,0,0,0,0,0,208,0,0,0,0,0
0,223708,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0
0,224144,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0
0,336989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,307018,0,0,0,0,0,0,0,0,0,0,0,196,0,0,0,0,0
0,187712,0,0,0,12893,0,0,0,0,0,2013,0,363,0,0,0,0,0
0,194665,0,0,0,14461,0,0,0,0,0,761,0,0,0,0,0,0,0
0,293404,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0
0,162089,0,0,0,0,8278,14338,0,0,0,0,0,0,0,0,0,0,0
0,107763,0,16471,0,8688,8,0,0,54631,0,0,4777,75,0,0,701,351,0
0,448969,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0
0,449975,10,0,0,0,0,0,0,0,0,0,0,0,0,704,0,0,0
0,405172,203859,0,0,0,0,0,0,0,9157,0,0,0,0,0,0,0,0
5,123008,55489,0,0,0,0,0,0,0,2512,0,0,0,0,0,0,0,0
0,152046,39961,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0
0,530581,6281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,9446,100514,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
0,190007,47318,0,0,0,16589,0,0,0,0,948,0,49,0,0,0,0,0
0,190118,49693,0,0,0,17652,0,0,0,0,935,0,262,0,0,0,0,0
0,85525,0,0,0,0,0,260,0,0,0,13925,0,309,1481,0,0,0,0
0,171507,0,10332,0,0,0,0,0,0,0,2641,0,0,0,0,0,0,0
0,138,0,0,0,0,106776,58608,0,0,0,0,0,0,0,0,0,0,0
0,181017,0,0,0,0,41709,43904,0,0,0,0,0,0,0,0,0,0,0
0,333238,9,0,0,0,64635,68705,2,0,0,0,0,65,0,0,0,0,0
0,59593,0,17,0,0,14642,43233,0,0,0,0,0,0,0,0,0,0,0
0,312770,0,0,0,0,0,0,0,0,0,0,0,1172,0,0,0,0,0
0,123,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,60619,68473,0,15,38870,48639,67109,77250,0,0,0,0,111,0,0,0,0,0
0,228,0,0,321406,0,0,0,0,0,0,0,0,0,0,0,0,0,0
