"NA","Oncorhynchus tshawytscha","Oncorhynchus keta","Oncorhynchus kisutch","Oncorhynchus nerka","Oncorhynchus mykiss","Hippoglossus stenolepis","Citharichthys stigmaeus","NA.1","Clupea pallasii","Salmo salar","Microstomus pacificus","Myoxocephalus polyacanthocephalus","Ophiodon elongatus","Glyptocephalus zachirus","Cymatogaster aggregata","NA.2","Atheresthes stomias","Ammodytes hexapterus","Gasterosteus aculeatus"
0,0.899,0.101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.998,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.77,0,0,0,0,0.215,0,0,0,0,0,0.015,0,0,0,0,0,0,0
0,0.9,0,0,0,0,0.099,0,0,0,0,0,0,0,0,0,0,0.001,0,0
0,0.897,0,0,0,0,0.103,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.349,0.651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.998,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.867,0,0.133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.955,0,0,0,0,0,0,0.045,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.293,0.27,0.284,0,0.154,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.839,0,0.161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.029,0.284,0.687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.971,0,0,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.923,0,0,0,0,0,0,0.001,0,0,0.048,0,0,0.015,0,0.006,0.006,0,0
0,0.989,0,0,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.988,0,0,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.003,0,0,0,0,0,0.997,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.994,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.006,0.769,0.175,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.281,0.564,0.135,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.71,0.162,0,0,0.129,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.936,0,0.064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.765,0,0.235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.406,0,0.594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.822,0,0,0,0,0.178,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.003,0,0.018,0.942,0,0,0,0.038,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.997,0.001,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0
0,0.692,0.032,0,0,0,0,0,0.276,0,0,0,0,0,0,0,0,0,0,0
0,0.834,0,0.117,0,0.049,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.003,0,0,0,0,0,0,0,0.997,0,0,0,0,0,0,0,0,0,0
0,0.003,0.139,0.827,0,0.028,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0
0,0.479,0.252,0.269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.989,0,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.951,0,0.049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.881,0,0,0,0,0.119,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.349,0,0,0.651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.11,0,0,0.002,0.888,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.83,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.908,0,0.092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.914,0.011,0.074,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0
0,0.006,0.994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.038,0.889,0,0,0.073,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.217,0.679,0,0,0.084,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0
