"Citharichthys stigmaeus","Oncorhynchus tshawytscha","Oncorhynchus kisutch","Oncorhynchus keta","Hippoglossus stenolepis","Atheresthes stomias","Ophiodon elongatus","Oncorhynchus mykiss","Oncorhynchus nerka","NA","Salmo salar","Oncorhynchus gorbuscha","NA.1","Ammodytes hexapterus","Anarrhichthys ocellatus","Citharichthys sordidus","Clupea pallasii","Gadus chalcogrammus","NA.2"
0,308510,0,0,0,15764,0,0,0,5,0,0,0,0,0,0,0,0,0
0,91867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,190928,0,29,0,0,0,0,0,2,0,0,0,0,0,0,0,25,0
0,91896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,181701,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
0,114692,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0
0,130532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,183312,0,0,0,0,0,0,0,139,0,0,0,0,0,0,0,0,0
0,98014,0,1792,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0
0,4671,2251,161624,10343,23501,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2594,157219,0,189,6415,0,0,0,595,0,0,0,0,0,42,0,0,2
0,141038,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,22137,93360,5862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,685,69708,0,0,0,0,0,0,276,0,0,0,0,0,0,0,0,0
0,43101,205823,0,0,0,0,0,0,36102,0,0,0,0,0,0,35,0,0
0,104706,572,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0
0,251479,0,0,0,0,0,10127,0,0,0,0,0,34,137,0,0,0,0
0,259848,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
0,190599,0,0,0,57931,0,0,0,31,0,0,14398,0,0,0,0,0,0
0,290449,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0
0,171996,959,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
0,108437,14513,13,0,46,0,0,0,0,0,0,0,81,0,0,0,0,0
0,138482,0,4125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,107892,4440,56112,0,0,0,993,0,5,0,0,0,0,0,0,0,0,0
0,171649,0,0,0,0,0,0,6204,0,0,0,0,0,0,0,0,0,0
0,142153,0,0,0,0,0,0,0,17,0,0,0,25,0,0,0,0,0
0,98347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,422349,0,0,0,0,17728,0,0,16,0,0,0,0,0,0,0,0,20
0,193700,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
0,117309,0,0,0,0,17694,0,0,0,0,0,0,0,0,0,0,0,0
0,199516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,221895,0,0,3,0,25406,20405,0,11,0,0,0,0,0,0,0,0,0
0,140406,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0
0,88005,0,0,0,0,2832,0,396,2,0,0,0,0,0,0,0,0,0
0,5429,0,0,71626,0,6,0,0,0,0,0,378,0,0,0,0,0,0
0,164225,0,0,0,0,0,0,3274,62,0,0,0,0,0,0,0,0,0
0,235704,0,0,351,73,5,4210,0,258,0,0,0,0,0,0,0,0,0
0,5515,51957,32905,0,0,0,0,0,269,0,0,0,0,0,0,0,0,0
0,6708,24242,86557,0,151,0,7024,0,0,0,0,30,0,0,0,0,0,0
0,345,61858,71489,0,0,0,15561,0,397,0,0,0,0,0,0,0,0,0
0,677,5033,127781,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0
0,135741,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,274795,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
0,64065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,163879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,86983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,79475,109,0,32351,1423,0,0,0,0,0,0,0,0,0,0,0,0,0
0,162728,0,0,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0
0,138483,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,156034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,189103,0,0,0,0,0,0,1,4,0,0,0,0,0,4,0,0,0
0,122207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,117285,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0
0,136881,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
0,212644,0,0,0,0,386,0,7,0,0,0,0,0,0,0,0,0,0
0,117873,0,1673,1575,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,182798,0,0,0,0,0,0,24449,922,0,0,0,0,0,0,0,0,0
0,108602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,194259,0,0,0,0,1520,0,0,0,0,0,0,0,0,0,0,0,0
0,318654,0,0,0,0,0,589,0,0,0,0,0,0,0,0,0,0,0
0,97289,23023,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0
0,170993,510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,37370,12305,27131,0,0,0,633,14004,5459,14507,12449,0,0,0,0,0,0,0
