"Citharichthys stigmaeus","Oncorhynchus tshawytscha","Oncorhynchus kisutch","Oncorhynchus keta","Hippoglossus stenolepis","Atheresthes stomias","Ophiodon elongatus","Oncorhynchus mykiss","Oncorhynchus nerka","NA","Salmo salar","Oncorhynchus gorbuscha","NA.1","Ammodytes hexapterus","Anarrhichthys ocellatus","Citharichthys sordidus","Clupea pallasii","Gadus chalcogrammus","NA.2"
0,0.951,0,0,0,0.049,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.999,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.999,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0
0,0.981,0,0.018,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0
0,0.023,0.011,0.799,0.051,0.116,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.016,0.941,0,0.001,0.038,0,0,0,0.004,0,0,0,0,0,0,0,0,0
0,0.999,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.182,0.769,0.048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.01,0.986,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0
0,0.151,0.722,0,0,0,0,0,0,0.127,0,0,0,0,0,0,0,0,0
0,0.993,0.005,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0
0,0.961,0,0,0,0,0,0.039,0,0,0,0,0,0,0.001,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.725,0,0,0,0.22,0,0,0,0,0,0,0.055,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.994,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.881,0.118,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0
0,0.971,0,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.637,0.026,0.331,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,0
0,0.965,0,0,0,0,0,0,0.035,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.96,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.869,0,0,0,0,0.131,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.829,0,0,0,0,0.095,0.076,0,0,0,0,0,0,0,0,0,0,0
0,0.999,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0
0,0.965,0,0,0,0,0.031,0,0.004,0,0,0,0,0,0,0,0,0,0
0,0.07,0,0,0.925,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0
0,0.98,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0
0,0.98,0,0,0.001,0,0,0.017,0,0.001,0,0,0,0,0,0,0,0,0
