notes,Sample_name,ID,Pod,Sex,Year,Month,Day
SRR27755060,2011Feb09-02_S47,not run,unknown,unknown,2011,2,9
SRR27755059,2011Feb09-03_S48,not run,unknown,unknown,2011,2,9
SRR27755057,2011Feb10-02_S49,not run,unknown,unknown,2011,2,10
SRR27755056,2011Feb10-b_S50,fail,unknown,unknown,2011,2,10
SRR27755055,2011Feb11-01_S51,J22,J,Female,2011,2,11
SRR27755054,2014APR14-01_S17,K27,K,Female,2014,4,14
SRR27755053,2014JAN18-01_S5,J45,J,Male,2014,1,18
SRR27755052,2014JAN18-02_S6,J22,J,Female,2014,1,18
SRR27755050,2014JAN18-03-reex_S30,J28,J,Female,2014,1,18
SRR27755051,2014JAN18-03_S7,J28,J,Female,2014,1,18
SRR27755048,2014JAN18-04-reex_S27,NA,NA,Female,2014,1,18
SRR27755049,2014JAN18-04_S8,NA,NA,Female,2014,1,18
SRR27755046,2014JAN18-05_S9,J47,J,Male,2014,1,18
SRR27755024,2014JAN18-06_S14,J47,J,Male,2014,1,18
SRR27755023,2014NOV15-01-reex_S31,J2,J,Female,2014,11,15
SRR27755043,2014OCT17-01-reex_S28,K43,K,Female,2014,10,17
SRR27755022,2014OCT17-01_S18,K43,K,Female,2014,10,17
SRR27755041,2014OCT17-02-reex_S25,J45,J,Male,2014,10,17
SRR27755042,2014OCT17-02_S19,J45,J,Male,2014,10,17
SRR27755040,2015FEB18-02_S3,K21,K,Male,2015,2,18
SRR27755039,2015FEB18-04_S4,K44,K,Male,2015,2,18
SRR27755038,2015FEB19-04_S10,K35,K,Male,2015,2,19
SRR27755036,2015FEB23-05_S11,K12,K,Female,2015,2,23
SRR27755035,2015FEB24-01_S12,L116,L,Male,2015,2,24
SRR27755033,2015FEB25-03-reex_S26,L55,L,Female,2015,2,25
SRR27755034,2015FEB25-03_S13,L55,L,Female,2015,2,25
SRR27755031,2015Jan02-A-reex_S24,fail,NA,fail,2015,1,2
SRR27755032,2015Jan02-A_S1,fail,NA,fail,2015,1,2
SRR27755030,2015Jan03-A_S2,J44,J,Male,2015,1,3
SRR27755028,2015Jan10-02-reex_S33,NA,NA,Male,2015,1,10
SRR27755029,2015Jan10-02_S15,NA,NA,Male,2015,1,10
SRR27755027,2015Jan10-03_S16,J44,J,Male,2015,1,10
SRR27755099,2016Feb25-04-2_S43,NA,NA,NA,2016,2,25
SRR27755098,2016Feb25-04-reex_S32,NA,NA,NA,2016,2,25
SRR27755025,2016Feb25-04_S23,NA,NA,NA,2016,2,25
SRR27755044,2017Mar31-01_S1,J17,J,Undetermined,2017,3,31
SRR27755058,2017Mar31-01rep_S10,J17,J,Undetermined,2017,3,31
SRR27754995,2017Sep10-02_S19,L106,L,Male,2017,9,10
SRR27754994,2017Sep10-06_S28,L116,L,Undetermined,2017,9,10
SRR27754993,2017Sep10-11_S37,L118,L,Undetermined,2017,9,10
SRR27754992,2017Sep13-01_S46,L25,L,Undetermined,2017,9,13
SRR27754990,2017Sep19-04_S54,L86 ,L,Undetermined,2017,9,19
SRR27755270,2017Sep21-02_S62,L106,L,Undetermined,2017,9,21
SRR27755037,2017Sep23-03_S2,L87,L,Undetermined,2017,9,23
SRR27755026,2017Sep23-07_S11,J42,J,Undetermined,2017,9,23
SRR27755110,2017Sep23-07rep_S20,J42,J,Undetermined,2017,9,23
SRR27755015,2017Sep23-14_S29,L106,L,Male,2017,9,23
SRR27755148,2017Sep24-10_S38,J42,J,Undetermined,2017,9,24
SRR27755275,2017Sep24-15_S47,J42,J,Undetermined,2017,9,24
SRR27755247,2017Sep26-07_S55,L92,L,Undetermined,2017,9,26
SRR27755159,2018AUG12-01-A_S6,J16,J,Undetermined,2018,8,12
SRR27755157,2018AUG12-01-B_S15,J16,J,Undetermined,2018,8,12
SRR27754988,2018JUN11-01_S24,unknown,"J,L",Undetermined,2018,6,11
SRR27754987,2018JUN11-02_S33,J40,J,Undetermined,2018,6,11
SRR27754986,2018JUN11-03_S42,unknown,"J,L",Undetermined,2018,6,11
SRR27755175,2018JUN11-04A_S51,J40,J,Undetermined,2018,6,11
SRR27755174,2018JUN11-04B_S59,J40,J,Undetermined,2018,6,11
SRR27755173,2018JUN11-05A_S67,J17,J,Undetermined,2018,6,11
SRR27755172,2018JUN11-05B_S7,J17,J,Undetermined,2018,6,11
SRR27755171,2018JUN11-07_S16,J17,J,Undetermined,2018,6,11
SRR27755170,2018JUN11-08_S25,J17,J,Undetermined,2018,6,11
SRR27755168,2018JUN11-10_S34,J49,J,Undetermined,2018,6,11
SRR27755167,2018JUN11-11A_S43,J49,J,Undetermined,2018,6,11
SRR27755166,2018JUN11-11B_S52,J49,J,Undetermined,2018,6,11
SRR27755165,2018JUN11-13A_S60,L87,L,Undetermined,2018,6,11
SRR27755164,2018JUN11-13B_S68,L87,L,Undetermined,2018,6,11
SRR27755163,2018JUN14-05_S8,unknown,J,Undetermined,2018,6,14
SRR27755162,2018JUN14-08_S17,J46,J,Undetermined,2018,6,14
SRR27755161,2018JUN14-10_S26,J36,J,Undetermined,2018,6,14
SRR27755160,2018JUN15-02_S35,J40,J,Undetermined,2018,6,15
SRR27755097,30-Jan-15_S20,K33,K,Male,2015,1,15
SRR27755021,30-Jan-2015-2_S34,K33,K,Male,2015,1,30
SRR27755020,30-Jan-2015-3_S40,K33,K,Male,2015,1,30
SRR27755083,52196-126_S82,L41,L,Male,2017,9,13
SRR27755242,52196-128_S7,L22,L,Female,2017,9,13
SRR27755090,52196-129_S17,L22,L,Female,2017,9,13
SRR27755004,52196-130_S29,52196-130,unknown,Male,2017,9,13
SRR27755007,52196-131_S40,52196-131,unknown,Male,2017,9,13
SRR27755245,52196-138_S51,J42,J,Female,2017,9,24
SRR27755246,52196-140_S62,J42,J,Female,2017,9,24
SRR27755272,52196-142_S72,J19,J,fail,2017,9,24
SRR27755019,52196-143_S83,J45,J,Male,2017,9,24
SRR27755002,52196-144_S8,L87,L,Male,2017,9,24
SRR27754991,52196-145_S18,J19,J,Female,2017,9,24
SRR27754989,52196-145rep_S74,J19,J,Female,2017,9,24
SRR27755006,52196-148_S30,L55,L,Female,2017,9,10
SRR27755005,52196-148rep_S85,L55,L,Female,2017,9,10
SRR27755095,52196-150_S41,L89,L,Male,2017,9,11
SRR27755084,52196-151_S52,NA,unknown,Female,2017,9,11
SRR27755086,52196-152_S63,L85,L,Male,2017,9,11
SRR27755082,52196-153_S73,L85,L,Male,2017,9,11
SRR27755089,52196-155_S84,L92,L,Male,2017,9,19
SRR27755243,52196-156_S9,J35,J,Female,2017,9,19
SRR27755081,52196-157_S19,J35,J,Female,2017,9,19
SRR27755014,52196-158_S31,L25,L,Female,2017,9,19
