Sample_name,ID,Pre/Post_hormone,Year,Month,Day,Sex,Est_Birth_Year,Death_Year,Name,,notes
2017SEP13-11,52196-130,,2017,Sep,13,UNK,UNK,UNK,,,
2017SEP13-12A,52196-131,,2017,Sep,13,UNK,UNK,UNK,,,
2019Dec18-#2,52389-29,,2019,Dec,18,UNK,UNK,UNK,,,
2021Sep11-02 ,52389-29,,2021,Sep,11,UNK,UNK,UNK,,,
2021Oct18-05a,52389-29,,2021,Oct,18,UNK,UNK,UNK,,,
2020Nov29-01A,52389-5,,2020,Nov,29,UNK,UNK,UNK,,,
2020Nov29-0113,52389-5,,2020,Nov,29,UNK,UNK,UNK,,,
2021Oct22-04b,52390-34,,2021,Oct,22,UNK,UNK,UNK,,,
2021Oct22-05b,52390-36,,2021,Oct,22,UNK,UNK,UNK,,,
2017SEP21-06,fail,,2017,Sep,21,UNK,UNK,UNK,,,
2020Sep11-03,fail,,2020,Sep,11,UNK,UNK,UNK,,,
2020Sep11-01,fail,,2020,Sep,11,UNK,UNK,UNK,,,
2011FEB10-03B,fail,,2011,Feb,10,UNK,UNK,UNK,,,
2015Jan10-02,fail,,2015,Jan,2,UNK,UNK,UNK,,,
F08Aug7.1,J1,Pre,2008,Aug,7,M,1951,2010,Ruffles,,
F09Sept13.2,J1,Pre,2009,Sep,13,M,1951,2010,Ruffles,,
F24MAY27_03A_S13,J16,Pre,2024,May,27,F,1972,NA,Slick,,
F24NOV06_01A_Post_S23,J16,Post,2024,Nov,6,F,1972,NA,Slick,,
F10Aug30.2,J16,Pre,2010,Aug,30,F,1972,NA,Slick,,
F10Sept7.4,J16,Pre,2010,Sep,7,F,1972,NA,Slick,,
F18Jul15.1A,J16,,2018,Jul,15,F,1972,NA,Slick,,
F18Sept23.1,J16,,2018,Sep,23,F,1972,NA,Slick,,
F20July13.02A,J16,,2020,Jul,13,F,1972,NA,Slick,,
2018AUG12-01-A,J16,,2018,Aug,12,F,1972,NA,Slick,,
2018AUG12-01-B,J16,,2018,Aug,12,F,1972,NA,Slick,,
2021Sep12-02,J16,,2021,Sep,12,F,1972,NA,Slick,,
2018SEP13-02,J16,,2018,Sep,13,F,1972,NA,Slick,,
N09Dec8.3,J17,Pre,2009,Dec,8,M,1977,2019,Princess Angeline,,
