plate_file,Sample_no,Sample_name,ID,Pre/Post_hormone,Year,Month,Day,Notes
C:/Users/MBall/OneDrive - UW/Documents/WADE LAB/SRKW/metadata/Plate1/SRKW_Diet_Plate1_MetaData.csv,1,F21SEP11_01B_S1,K16,Pre,2021,Sep,11,NA
C:/Users/MBall/OneDrive - UW/Documents/WADE LAB/SRKW/metadata/Plate1/SRKW_Diet_Plate1_MetaData.csv,2,F22MAY30_05A_S2,J51,Pre,2022,May,30,NA
C:/Users/MBall/OneDrive - UW/Documents/WADE LAB/SRKW/metadata/Plate1/SRKW_Diet_Plate1_MetaData.csv,3,F22MAY30_05B_S3,NA,Pre,2022,May,30,"Not run for ID, but was subsample of F22MAY30_05A_S2"
C:/Users/MBall/OneDrive - UW/Documents/WADE LAB/SRKW/metadata/Plate1/SRKW_Diet_Plate1_MetaData.csv,4,F22SEP06_01C_S4,J51,Pre,2022,Sep,6,NA
C:/Users/MBall/OneDrive - UW/Documents/WADE LAB/SRKW/metadata/Plate1/SRKW_Diet_Plate1_MetaData.csv,5,10Nov2022_3_Post_S5,L105,Post,2022,Nov,10,NA
C:/Users/MBall/OneDrive - UW/Documents/WADE LAB/SRKW/metadata/Plate1/SRKW_Diet_Plate1_MetaData.csv,6,F23JUL01_03A_S6,J56,Pre,2023,Jul,1,NA
C:/Users/MBall/OneDrive - UW/Documents/WADE LAB/SRKW/metadata/Plate1/SRKW_Diet_Plate1_MetaData.csv,7,F23JUL01_05B_S7,J26,Pre,2023,Jul,1,NA
C:/Users/MBall/OneDrive - UW/Documents/WADE LAB/SRKW/metadata/Plate1/SRKW_Diet_Plate1_MetaData.csv,8,F23JUL01_06A_S8,J26,Pre,2023,Jul,1,NA
C:/Users/MBall/OneDrive - UW/Documents/WADE LAB/SRKW/metadata/Plate1/SRKW_Diet_Plate1_MetaData.csv,9,F23AUG17_02B_S9,J56,Pre,2023,Aug,17,NA
C:/Users/MBall/OneDrive - UW/Documents/WADE LAB/SRKW/metadata/Plate1/SRKW_Diet_Plate1_MetaData.csv,10,F24MAR22_01A_Post_S10,J39,Post,2024,Mar,22,NA
