Sample_no,Sample_name,ID,Pre/Post_hormone,Year,Month,Day
1,F21SEP11_01B_S1,K16,Pre,2021,Sep,11
2,F22MAY30_05A_S2,J51orJ58,Pre,2022,May,30
3,F22MAY30_05B_S3,NA,Pre,2022,May,30
4,F22SEP06_01C_S4,J51orJ58,Pre,2022,Sep,6
5,10Nov2022_3_Post_S5,L105,Post,2022,Nov,10
6,F23JUL01_03A_S6,J56,Pre,2023,Jul,1
7,F23JUL01_05B_S7,J26,Pre,2023,Jul,1
8,F23JUL01_06A_S8,J26,Pre,2023,Jul,1
9,F23AUG17_02B_S9,J56,Pre,2023,Aug,17
10,F24MAR22_01A_Post_S10,J39,Post,2024,Mar,22
11,F24MAY27_02A_S11,J37,Pre,2024,May,27
12,F24MAY27_02A_Post_S12,J37,Post,2024,May,27
13,F24MAY27_03A_S13,J16,Pre,2024,May,27
14,F24JUN01_01C_S14,J39,Pre,2024,Jun,1
15,F24JUN01_01C_Post_S15,J39,Post,2024,Jun,1
16,F24JUN01_02A_Post_S16,J53,Post,2024,Jun,1
17,F24JUN21_01A_Post_S17,J47,Post,2024,Jun,21
18,F24Aug21_01AB_Post_S18,J27,Post,2024,Aug,21
19,F24OCT29_01A_S19,K42,Pre,2024,Oct,29
20,F24OCT29_06B_S20,K20,Pre,2024,Oct,29
21,F24OCT29_06B_Post_S21,K20,Post,2024,Oct,29
22,F24OCT29_07A_S22,L47,Pre,2024,Oct,29
23,F24NOV06_01A_Post_S23,J16,Post,2024,Nov,6
24,23Dec2023_4_S24,NA,Pre,2023,Dec,23
25,06Oct2024_3_S25,J27,Pre,2024,Oct,6
26,06Oct2024_3_Post_S26,J27,Post,2024,Oct,6
27,06Oct2024_4_Post_S27,J26,Post,2024,Oct,6
28,07Oct2024_1_S28,J40,Pre,2024,Oct,7
29,F24JUL24_01A_S29,J40,Pre,2024,Jul,24
30,F24JUL27_01A_Post_S30,J27,Post,2024,Jul,27
31,F24AUG20_01A_S31,L110,Pre,2024,Aug,20
32,F23JUL01_01A_S32,J42,Pre,2023,Jul,1
33,F23AUG17_02A_S33,J56,Pre,2023,Aug,17
34,F23AUG17_03A_S34,J31,Pre,2023,Aug,17
35,M22JUN22_03A_S35,L113,Pre,2022,Jun,22
36,F22JUL29_01A_S36,L121,Pre,2022,Jul,29
37,F22JUL22_01B_S37,L83,Pre,2022,Jul,22
38,F21SEP09_01B_S38,K43,Pre,2021,Sep,9
39,F21SEP15_01A_S39,K33,Pre,2021,Sep,15
40,F23SEP11_01B_S40,NA,Pre,2023,Sep,11
41,TU22JUN19_01A_S41,NA,Pre,2022,Jun,19
42,F21SEP12_01C_K33_S42,K33,Pre,2021,Sep,12
43,PosCon_S43,Mock5,NA,NA,NA,NA
44,NegCon_S44,Neg,NA,NA,NA,NA
45,F22SEP06_01C_S45,NA,Pre,2022,Sep,6
46,F22SEP06_02A_S46,NA,Pre,2022,Sep,6
