Sample_no,Sample_name,Pre/Post_hormone,ID,Year,Month,Day
1,F22JUL24.03A-Post,,J40,2022,Jul,24
2,F22AUG05.01A-Post,,J19,2022,Aug,5
3,F22SEP06.01A-Post,,J51,2022,Sep,6
4,F23JUL01.01A-Post,,J42,2023,Jul,1
5,13Sept2025.1,,J53,2025,Sep,13
6,15Sept2025.3,,J53,2025,Sep,16
7,16Sept2025.2,,J26,2025,Sep,16
8,16Sept2025.3,,J57,2025,Sep,16
9,16Sept2025.4,,J40,2025,Sep,16
10,F18SEP23.2,,J26,2018,Sep,23
11,F18SEP23.3,,J26,2018,Sep,23
12,F22JUL29.01C,,L121,2022,Jul,29
13,F23SEP11.01B,,J49,2023,Sep,11
14,F25APR16.01A-Post,,J41,2025,Apr,16
15,F25SEP08.02A-Post,,J40,2025,Sep,8
16,F25SEP08.03A,Pre,J40,2025,Sep,8
17,F25SEP08.03A-Post,Post,J40,2025,Sep,8
18,F25NOV10.01A-Post,,J56,2025,Nov ,10
19,F25NOV10.01B-Post,,J56,2025,Nov ,10
20,F25NOV10.02A,Pre,J56,2025,Nov ,10
21,F25NOV10.02A-Post,Post,J56,2025,Nov ,10
22,F25NOV11.01A-Post,,J27,2025,Nov ,11
23,F25NOV11.02A-Post,,J27,2025,Nov ,11
24,F25Sept08.03MS,,J40,2025,Sep,8
25,F25Sept16.01MS,Pre,J39,2025,Sep,16
26,F25Sept16.01MS-Post,Post,J39,2025,Sep,16
27,F25SEP16.02MS-Post,,J26,2025,Sep,16
28,F25NOV02.01MS-Post,,,2025,Nov ,2
29,NegCon,,NA,NA,NA,NA
30,F25NOV08.01.MS-Post,,J49,2025,Nov ,8
31,F25Nov10.01MS-Post,,J56,2025,Nov ,10
32,F25DEC23.03MS,,K33,2025,Dec,23
33,F26JAN13.04MS,,K12,2026,Jan,13
34,F26JAN13.07MS-Post,,J53,2026,Jan,13
35,F26JAN13.08.MS,Pre,J57,2026,Jan,13
36,F26JAN13.08.MS-Post,Post,J57,2026,Jan,13
37,F20July14.03,,J53,2020,Jul,14
38,F20Mar09.01A,,J40,2020,Mar,9
39,F20Sept03.02,,J31,2020,Sep,3
40,F20Sept03.04,,J16,2020,Sep,3
41,F20Sept11.01,,K44,2020,Sep,11
42,F23JUL01.04A-Lys,,J42,2023,Jul,1
43,F23JUL03.03A-Lys,,,2023,Jul,3
