Sample_no,Sample_name,ID,Pre/Post_hormone,Year,Month,Day
1,2007Sept11.02A,L101,Pre,2007,Sep,11
2,2007Nov05.07B,J27,Pre,2007,Nov,5
3,43,J26,Pre,2007,,
4,48,J19,Pre,2007,,
5,53,J42_J36,Pre,2007,,
6,54,K21,Pre,2007,,
7,2007Sept6.10B,,Pre,2007,Sep,6
8,57,,Pre,2007,,
9,F08MAY22.1,J30,Pre,2008,May,22
10,F08May28.2,J8,Pre,2008,May,28
11,F08July06.2,K33,Pre,2008,Jul,6
12,F08Aug4.2,J32,Pre,2008,Aug,4
13,F08Aug7.1,J1,Pre,2008,Aug,7
14,F08Aug30.1,L106,Pre,2008,Aug,30
15,F08Aug30.2a,J30,Pre,2008,Aug,30
16,08Dec2.7,J2,Pre,2008,Dec,2
17,F08June30.2,,Pre,2008,Jun,30
18,F08July20.6,,Pre,2008,Jul,20
19,09May15.12B,J30,Pre,2009,May,15
20,09May15.14B,J32,Pre,2009,May,15
21,09May15.15B,J2,Pre,2009,May,15
22,F09July21.2,K11,Pre,2009,Jul,21
23,F09July21.3a,K40,Pre,2009,Jul,21
24,F09July23.1,J31,Pre,2009,Jul,23
25,F09July28.10b_No,L73,Pre,2009,Jul,28
26,09July29.1b,L84,Pre,2009,Jul,29
27,09July29.3b,J34,Pre,2009,Jul,29
28,09July29.6b,K21,Pre,2009,Jul,29
29,F09Aug8.1b_No_tha,L41,Pre,2009,Aug,8
30,N09Sept10.9,L103,Pre,2009,Sep,10
31,F09Sept11.2a,K22,Pre,2009,Sep,11
32,N09Sept11.7and8,L78,Pre,2009,Sep,11
33,F09Sept13.1,J36,Pre,2009,Sep,13
34,F09Sept13.2,J1,Pre,2009,Sep,13
35,N09Sept15.12and13,L7,Pre,2009,Sep,15
36,F09Sept20.1a,K12,Pre,2009,Sep,20
37,F09Oct06.1a,L53,Pre,2009,Oct,6
38,F09Oct06.2b,L83,Pre,2009,Oct,6
39,F09Oct09.2,J30,Pre,2009,Oct,9
40,N09Dec8.3,J17,Pre,2009,Dec,8
41,N09Dec8.5,J28,Pre,2009,Dec,8
42,N09Dec10.3,J32,Pre,2009,Dec,10
43,09July13.8a,,Pre,2009,Jul,13
44,N09Sept10.3,,Pre,2009,Sep,10
45,F10Jul06.1,J26,Pre,2010,Jul,6
46,F10Jul07.4,L7,Pre,2010,Jul,7
47,F10Aug12.4,K40,Pre,2010,Aug,12
48,F10Aug15.2,L2,Pre,2010,Aug,15
49,F10Aug19.1,J2,Pre,2010,Aug,19
50,F10Aug23.2,L89,Pre,2010,Aug,23
51,F10Sept7.3,J28,Pre,2010,Sep,7
52,F10Aug30.2,J16,Pre,2010,Aug,30
53,F10Sept7.2,J38,Pre,2010,Sep,7
54,F10Sept7.4,J16,Pre,2010,Sep,7
55,F10 Sept16.1,K12,Pre,2010,Sep,16
56,F10Sept25.4,L26,Pre,2010,Sep,25
57,F10Aug24.3,,Pre,2010,Aug,24
58,F10Sept25.1,,Pre,2010,Sep,25
59,F11June20.2,K27,Pre,2011,Jun,20
60,F11June22.1,J2,Pre,2011,Jun,22
61,F11July3.4,K34,Pre,2011,Jul,3
62,F11July7.1,J36,Pre,2011,Jul,7
63,F11July7.3,J34,Pre,2011,Jul,7
64,F11July23.1,L77,Pre,2011,Jul,23
65,F11July26.1,J17,Pre,2011,Jul,26
66,F11July27.2,K25,Pre,2011,Jul,27
67,F11Aug03.1,K13,Pre,2011,Aug,3
68,NegCon,NA,Pre,NA,NA,NA
69,PosCon,MOCK3,Pre,NA,NA,NA
70,F22Sep08.01A,J40,Pre,2022,Sep,8
71,F22Sep08.01A.Clean,J40,Pre,2022,Sep,8
