Sample_no,Sample_name,ID,Year,Month,Day
1,F13Sept8.2,K26,2013,Sep,8
2,F13Sept11.5,L103,2013,Sep,11
3,F13Sept19.1,K21,2013,Sep,19
4,F13Sept25.3,J2,2013,Sep,25
5,F13Sept26.1,L90,2013,Sep,26
6,F13Oct2.1,J36,2013,Oct,2
7,F13Oct2.2,J28,2013,Oct,2
8,F13Aug9.3,L108,2013,Aug,9
9,F14June02.01,J40,2014,Jun,2
10,F14June05.02,J19,2014,Jun,5
11,F14June23.01,J35f,2014,Jun,23
12,F14July01.01A,L115,2014,Jul,1
13,F14July07.01,J31,2014,Jul,7
14,F14July15.01,K13,2014,Jul,15
15,F14July15.02,J28,2014,Jul,15
16,F14Aug09.03,J34,2014,Aug,9
17,F14Aug09.04,K25,2014,Aug,9
18,F14Aug24.01,K33,2014,Aug,24
19,F14Aug24.04,K14-f,2014,Aug,24
20,F14Oct01.01,J27,2014,Oct,1
21,F14Oct05.03,K26-f,2014,Oct,5
22,F14July21.03,J44,2014,Jul,21
23,F16July12.3,J46,2016,Jul,12
24,F16July20.1,L25,2016,Jul,20
25,F16Aug20.1A,K25,2016,Aug,20
26,F16Sept14.1,K42,2016,Sep,14
27,F16Sept19.2A,L85,2016,Sep,19
28,F16Sept19.3,L88,2016,Sep,19
29,F16July15.01,,2016,Jul,15
30,NOAA2016way,J44,2016,,
31,F17June25.1A,J31,2017,Jun,25
32,F17May31.02A,J35,2017,May,31
33,FY17May?,J36,2017,May,
34,F18Aug11.1,J26,2018,Aug,11
35,F18Aug18.1A,J27,2018,Aug,18
36,F18Jul13.1,J44,2018,Jul,13
37,F18Jul13.2,J31,2018,Jul,13
38,F18Jul15.1A,J16,2018,Jul,15
39,F18Jul15.2,J44,2018,Jul,15
40,F18Jul15.5,J53,2018,Jul,15
41,F18Jul27,J46,2018,Jul,27
42,F18Jul30.1,J44,2018,Jul,30
43,F18Jun20.1,J49,2018,Jun,20
44,F18Sept17.1,J42,2018,Sep,17
45,F18Sept23.1,J16,2018,Sep,23
46,F18Sept25.1A,L87,2018,Sep,25
47,F19Aug15.01A,J19,2019,Aug,15
48,F19Aug16.01A,J42,2019,Aug,16
49,F19Aug16.02A,J36,2019,Aug,16
50,F19Aug17.01A,J44,2019,Aug,17
51,F19Aug17.02A,J40,2019,Aug,17
52,F19Aug20.02A,J37,2019,Aug,20
53,F19Aug29.01A,J37,2019,Aug,29
54,F19Aug31.02A,J45,2019,Aug,31
55,F19Sep21.01A,L118,2019,Sep,21
56,F19Sep30.01A,J37,2019,Sep,30
57,F19Sep30.02A,J40,2019,Sep,30
58,F19Jul05.01A,J46,2019,Jul,5
59,F19Jul05.02A,K22,2019,Jul,5
60,F19Aug26.02A,J22,2019,Aug,26
61,F19Sept05.01A,J45,2019,Sep,5
62,F19Sep21.02A,L72,2019,Sep,21
63,F20Feb26.04A,J19,2020,Feb,26
64,F20July06.01A,J19,2020,Jul,6
65,F20July13.02A,J16,2020,Jul,13
66,F20July14.01A,J47,2020,Jul,14
67,PosCon_5,NA,NA,NA,NA
68,NegCon,NA,NA,NA,NA
