LabID,FieldID,Rep,Sample_Type,Weight_g ,IndID_SDZWA,Extraction_Notes,Sample_Color,DNA_Concentration_Extract_(ng/uL),PCR1_success_training,PCR1_success_0702,PCR1_success_0715,PCR1_success_0716,PCR1_success_0718,PCR1_success_0724,PCR1_success_0725,Extract_cleaned,Cleaned_concentration
NA,F23JUL01.05B,1,Wet scoop,NA,unk,,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA
NA,F23JUL01.06A,1,Wet scoop,NA,unk,,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA
WADE-002-001,F22JUN23.02A,1,Swab,NA,J40,,Green,0.945,N,NA,NA,NA,NA,N,NA,Y,3.37
WADE-002-002,F22JUL28.05A,1,Swab,NA,J27,,Clear,1.13,Y,NA,NA,NA,NA,NA,NA,N,NA
WADE-002-003,F22AUG05.02A,1,Swab,NA,unk,,Green,1.39,N,NA,NA,NA,NA,N,NA,Y,0.799
WADE-002-004,F22OCT06.01A,1,Swab,NA,J16,,Green,3.43,N,NA,NA,NA,NA,N,NA,Y,3.17
WADE-002-005,F22MAY26.01A,1,Swab,NA,unk,,Green,3.78,N,NA,NA,NA,NA,N,NA,Y,3.01
WADE-002-006,F22MAY28.01A,1,Swab,NA,unk,,Green,1.29,N,NA,NA,NA,NA,N,NA,Y,0.393
WADE-002-007,F22MAY30.01A,1,Swab,NA,unk,,Clear,0.115,N,NA,NA,NA,NA,N,NA,Y,0.079
WADE-002-008,F22MAY30.02A,1,Swab,NA,unk,,Clear,0.398,N,NA,NA,NA,NA,N,NA,Y,0.245
WADE-002-009,F22MAY30.04A,1,Swab,NA,unk,,Clear,1.19,N,NA,NA,NA,NA,N,NA,Y,0.68
WADE-002-010,F22MAY30.05B,1,Swab,NA,unk,,Green,25.9,Y,Y,Y,NA,NA,NA,NA,N,NA
WADE-002-011,F22JUN22.01A,1,Swab,NA,unk,,Green,14.6,Y,Y,Y,NA,NA,NA,NA,N,NA
WADE-002-012,F22JUN22.02A,1,Swab,NA,unk,,Green,5.51,N,NA,NA,NA,NA,N,NA,Y,4.81
WADE-002-013,F22JUN22.04A,1,Swab,NA,unk,,Clear,1.28,N,NA,NA,NA,NA,N,NA,Y,0.636
WADE-002-014,F22JUN23.01A,1,Swab,NA,J19,,Green,51,Y,NA,NA,N,N,NA,NA,N,NA
WADE-002-015,F22JUL28.03A,1,Swab,NA,unk,,Green,16.4,Y,Y,Y,NA,NA,NA,NA,N,NA
WADE-002-016,F22JUL29.02A,1,Swab,NA,unk,,Clear,33.4,Y,Y,Y,NA,NA,NA,NA,N,NA
WADE-002-017,F22AUG08.02A,1,Swab,NA,L41,,Green,20,N,N,N,N,N,N,NA,Y,13.7
WADE-002-018,F22SEP06.02A,1,Swab,NA,unk,,Green,35.2,Y,Y,Y,NA,NA,NA,NA,N,NA
WADE-002-019,F22SEP08.01A,1,Swab,NA,unk,,Brown,16.2,N,N,N,N,N,N,NA,Y,11.3
WADE-002-020,F22OCT06.02A,1,Swab,NA,unk,,Brown,0.117,N,NA,NA,NA,NA,N,NA,Y,too low
WADE-002-021,TF21JUN16.01A,1,Swab,NA,Unknown transient,,Clear,0.101,N,NA,NA,NA,NA,N,NA,Y,0.07
WADE-002-022,TF21AUG12.01C,1,Swab,NA,Unknown transient,,Hair,too low,N,NA,NA,N,N,N,NA,Y,0.154
WADE-002-023,F21SEP15.04A,1,Swab,NA,K26,Dropped on ground,Brown,2.81,N,NA,NA,NA,NA,N,NA,Y,1.47
WADE-002-024,F21SEP15.05A,1,Swab,NA,unk,,Brown,2.79,Y,NA,NA,NA,NA,NA,NA,N,NA
WADE-002-025,F22JUN22.03A,1,Swab,NA,unk,,Brown,19.3,N,N,N,N,N,N,NA,Y,7.77
WADE-002-026,F22JUN23.03A,1,Swab,NA,unk,,Green,13.1,N,N,N,N,N,N,NA,Y,4.82
WADE-002-027,F22JUL24.04A,1,Swab,NA,J16,,Green,38.3,Y,Y,Y,NA,NA,NA,NA,N,NA
WADE-002-028,F22JUL24.07A,1,Swab,NA,J19,,Clear,2.46,N,NA,NA,NA,NA,N,NA,Y,1.19
WADE-002-029,F22JUL28.01A,1,Swab,NA,J19,,Green,24.8,Y,Y,Y,NA,NA,NA,NA,N,NA
WADE-002-030,F22JUL28.02A,1,Swab,NA,unk,,Yellow,2.84,N,NA,NA,NA,NA,N,NA,Y,1.32
WADE-002-031,F23JUN30.01A,1,Wet scoop,NA,unk,,Clear,0.65,N,NA,NA,NA,NA,N,NA,Y,0.187
WADE-002-032,F23JUL01.01B,1,Wet scoop,NA,unk,,Green,19.6,Y,Y,Y,NA,NA,NA,NA,N,NA
WADE-002-033,F23JUL01.03A,1,Wet scoop,NA,unk,,Beige,0.151,N,NA,NA,NA,NA,N,NA,Y,0.543
WADE-002-034,F23AUG17.02B,1,Wet scoop,NA,unk,,Beige,1.01,N,NA,NA,NA,NA,NA,N,Y,0.732
WADE-002-035,F23AUG17.03B,1,Wet scoop,NA,unk,,Beige,0.152,N,NA,NA,NA,NA,NA,N,Y,0.105
WADE-002-036,F23SEP09.01A,1,Wet scoop,NA,unk,,Beige,6.17,N,NA,NA,NA,NA,NA,N,Y,4.97
WADE-002-037,F23SEP09.02B,1,Wet scoop,NA,unk,,Beige,0.095,N,NA,NA,NA,NA,NA,N,Y,0.055
WADE-002-038,F23SEP11.01A,1,Wet scoop,NA,unk,,Beige,0.288,N,NA,NA,NA,NA,NA,N,Y,0.114
WADE-002-039,F21SEP15.06A,1,Lyophilized,0.103,unk,,Yellow,21.2,Y,Y,Y,NA,NA,NA,NA,N,NA
WADE-002-040,F22MAY30.03A,1,Lyophilized,0.108,J49,,Yellow,36.7,Y,Y,Y,NA,NA,NA,NA,N,NA
WADE-002-041,F22MAY30.06C,1,Lyophilized,0.1,J49,,Green,31.7,N,N,N,N,N,NA,N,Y,10.1
WADE-002-042,F22JUL24.03C,1,Lyophilized,0.103,J42,,Green,45.1,Y,N,N,N,N,NA,NA,N,NA
WADE-002-043,F22AUG05.01B,1,Lyophilized,0.102,J19,,Yellow,23.6,Y,Y,Y,NA,NA,NA,NA,N,NA
WADE-002-044,F22SEP06.01C,1,Lyophilized,0.103,unk,,Green,12.6,Y,Y,Y,NA,NA,NA,NA,N,NA
WADE-002-045,F22NOV12.01A,1,Lyophilized,0.103,unk,,Green,15.3,Y,N,N,N,N,NA,NA,N,NA
WADE-002-046,F22NOV12.02A,1,Lyophilized,0.1,unk,,Green,too high,Y,NA,NA,N,N,NA,NA,N,NA
WADE-002-047,F23JUN25.01A,2,Lyophilized,NA,unk,,Green,14.6,NA,Y,Y,NA,NA,NA,Y,Y,12.6
