,Sample,LabID,Sample.ID,Genetic.Sex,Individual.ID,Pod,pedPod,Region,MiSeq.run,Population,year,month,day,latitudeN,longitudeW,,dom.sp,prey50,TopRel
1,52196-128_S7,52196-128,2017SEP13-05,Female,L22,L,NA,WA,2019,SRKW,2017,9,13,48.45379,123.04847,48.45379_123.04847,chinook,chinook,NA
2,52196-156_S9,52196-156,2017SEP19-10,Female,J35,J,NA,WA,2019,SRKW,2017,9,19,47.88268,122.37001,47.88268_122.37001,coho,coho,NA
3,52196-157_S19,52196-157,2017SEP19-12A,Female,J35,J,NA,WA,2019,SRKW,2017,9,19,47.88801,122.37806,47.88801_122.37806,coho,coho,NA
4,52196-158_S31,52196-158,2017SEP19-13,Female,L25,L,NA,WA,2019,SRKW,2017,9,19,47.88801,122.37806,47.88801_122.37806,coho,coho,NA
5,52196-155_S84,52196-155,2017SEP19-03,Male,L92,L,NA,WA,2019,SRKW,2017,9,19,47.85363,122.38551,47.85363_122.38551,chum,chum,NA
6,2017Sep19-04_S54,52196-050,2017Sep19-04,Undetermined,L86 ,L,NA,WA,2018,SRKW,2017,9,19,47.715602,122.47593,47.715602_122.47593,coho,coho,NA
7,52389-1_S3,52389-01,13Nov2019-6,Male,J49,J,NA,WA,2021P2,SRKW,2019,11,13,47.715602,122.47593,47.715602_122.47593,chum,chum,NA
8,52389-10_S8,52389-10,2020Nov29-01A,Male,52389-5,J,J,WA,2021P2,SRKW,2020,11,29,47.715602,122.47593,47.715602_122.47593,chum,chum,PO
9,52389-11_S9,52389-11,MS2019Nov12.05B,Male,J44,J,NA,WA,2021P2,SRKW,2019,11,12,47.715602,122.47593,47.715602_122.47593,chum,chum,NA
10,52389-19_13,52389-19,11-24-19 event #1,Male,J44,J,NA,WA,2021P2,SRKW,2019,11,24,47.715602,122.47593,47.715602_122.47593,NA,None,NA
11,52389-20_S14,52389-20,11-24-19 event #1,Male,J44,J,NA,WA,2021P2,SRKW,2019,11,24,47.715602,122.47593,47.715602_122.47593,chum,chum,NA
12,52389-28_S16,52389-28,2019Dec18-#3,Male,J42,J,NA,WA,2021P2,SRKW,2019,12,18,47.715602,122.47593,47.715602_122.47593,chum,chum,NA
13,52389-29_S17,52389-29,2019Dec18-#2,Male,52389-29,"J,K,L",K,WA,2021P2,SRKW,2019,12,18,47.715602,122.47593,47.715602_122.47593,chinook,chinook,PO
14,52389-3_S4,52389-03,MS2019Nov12.05A,Male,J44,J,NA,WA,2021P2,SRKW,2019,11,12,47.715602,122.47593,47.715602_122.47593,chum,chum,NA
15,52389-30_S76,52389-30,11-24-19 #3,Male,J44,J,NA,WA,2021P1,SRKW,2019,11,24,47.715602,122.47593,47.715602_122.47593,chum,chum,NA
16,52389-4_S5,52389-04,MS2019Nov12.06,Male,J49,J,NA,WA,2021P2,SRKW,2019,11,12,47.715602,122.47593,47.715602_122.47593,NA,None,NA
17,52389-5_S6,52389-05,2020Nov29-0113,Male,52389-5,J,J,WA,2021P2,SRKW,2020,11,29,47.715602,122.47593,47.715602_122.47593,chum,chum,PO
18,52389-6_S7,52389-06,MS2019Nov12.04,Female,J46,J,NA,WA,2021P2,SRKW,2019,11,12,47.715602,122.47593,47.715602_122.47593,chum,chum,NA
19,MS2017Nov06-04_S63,52196-069,MS2017Nov06-04,Undetermined,unknown,unknown,NA,WA,2018,SRKW,2017,11,6,47.715602,122.47593,47.715602_122.47593,chum,chum,NA
20,MS2017Nov06-05_S3,52196-070,MS2017Nov06-05,Undetermined,unknown,unknown,NA,WA,2018,SRKW,2017,11,6,47.715602,122.47593,47.715602_122.47593,chum,chum,NA
21,MS2017Nov08-01_S12,52196-071,MS2017Nov08-01,Undetermined,K42,K,NA,WA,2018,SRKW,2017,11,8,47.715602,122.47593,47.715602_122.47593,chum,chum,NA
22,MS2017Nov08-02_S21,52196-072,MS2017Nov08-02,Undetermined,K42,K,NA,WA,2018,SRKW,2017,11,8,47.715602,122.47593,47.715602_122.47593,chum,chum,NA
23,MS2017Nov22-01_S30,52196-073,MS2017Nov22-01,Undetermined,K16,K,NA,WA,2018,SRKW,2017,11,22,47.715602,122.47593,47.715602_122.47593,chum,chum,NA
24,2017Mar31-01_S1,52196-043,2017Mar31-01,Undetermined,J17,J,NA,WA,2018,SRKW,2017,3,31,48.152243,122.71428,48.152243_122.71428,chinook,chinook,NA
25,2017Mar31-01rep_S10,52196-043,2017Mar31-01,Undetermined,J17,J,NA,WA,2018,SRKW,2017,3,31,48.152243,122.71428,48.152243_122.71428,chinook,chinook,NA
26,52196-170_S22,52196-170,2017SEP23-02,Female,L86,L,NA,WA,2019,SRKW,2017,9,23,48.50726,122.75874,48.50726_122.75874,chinook,chinook,NA
27,2017Sep23-03_S2,52196-052,2017Sep23-03,Undetermined,L87,L,NA,WA,2018,SRKW,2017,9,23,48.72477,122.780677,48.72477_122.780677,chinook,chinook,NA
28,2017Sep23-07_S11,52196-053,2017Sep23-07,Undetermined,J42,J,NA,WA,2018,SRKW,2017,9,23,48.72477,122.780677,48.72477_122.780677,chum,chum,NA
29,2017Sep23-07rep_S20,52196-053,2017Sep23-07,Undetermined,J42,J,NA,WA,2018,SRKW,2017,9,23,48.72477,122.780677,48.72477_122.780677,chum,chum,NA
30,2017Sep23-14_S29,52196-055,2017Sep23-14,Male,L106,L,NA,WA,2018,SRKW,2017,9,23,48.72477,122.780677,48.72477_122.780677,chinook,chinook,NA
31,52196-173_S23,52196-173,2017SEP23-05A,Female,J42,J,NA,WA,2019,SRKW,2017,9,23,48.4398,122.79254,48.4398_122.79254,chum,chum,NA
32,52196-174_S34,52196-174,2017SEP23-06,Female,J42,J,NA,WA,2019,SRKW,2017,9,23,48.42145,122.80965,48.42145_122.80965,chum,chum,NA
33,52196-207_S25,52196-207,2018SEP12-02,Female,NA,unknown,NA,WA,2019,SRKW,2018,9,12,48.40966,122.84057,48.40966_122.84057,chinook,chinook,NA
34,52196-175_S45,52196-175,2017SEP23-10,Male,NA,unknown,NA,WA,2019,SRKW,2017,9,23,48.415,122.88344,48.415_122.88344,chinook,chinook,NA
35,52196-150_S41,52196-150,2017SEP11-06,Male,L89,L,NA,WA,2019,SRKW,2017,9,11,48.4,122.9,48.4_122.9,chinook,chinook,NA
